Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A21I4R13C18 ,spleen,,10300,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18
A21I4R13C18-1 ,spleen,,10200,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18-1
A21I4R13C18-2 ,spleen,,12900,He_4CR_I4,He_4CR_R13,He_4CR_A21,He_4CR_C18-2
A23I4R13C18 ,spleen,,8610,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18
A23I4R13C18-1 ,spleen,,6070,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18-1
A23I4R13C18-2 ,spleen,,82800,He_4CR_I4,He_4CR_R13,He_4CR_A23,He_4CR_C18-2
A1I4R21C18 ,spleen,,270000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18
A1I4R21C18-1 ,spleen,,2190000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18-1
A1I4R21C18-2 ,spleen,,6720000,He_4CR_I4,He_4CR_R21,He_4CR_A1,He_4CR_C18-2
A4I4R21C18 ,spleen,,190000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18
A4I4R21C18-1 ,spleen,,370000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18-1
A4I4R21C18-2 ,spleen,,169000,He_4CR_I4,He_4CR_R21,He_4CR_A4,He_4CR_C18-2
A21I4R21C18 ,spleen,,55300,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18
A21I4R21C18-1 ,spleen,,72400,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-1
A21I4R21C18-2 ,spleen,,11900,He_4CR_I4,He_4CR_R21,He_4CR_A21,He_4CR_C18-2
A23I4R21C18 ,spleen,,51800,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18
A23I4R21C18-1 ,spleen,,814000,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-1
A23I4R21C18-2 ,spleen,,435000,He_4CR_I4,He_4CR_R21,He_4CR_A23,He_4CR_C18-2
A1I4R22C18 ,spleen,,836000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18
A1I4R22C18-1 ,spleen,,3030000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-1
A1I4R22C18-2 ,spleen,,12100000,He_4CR_I4,He_4CR_R22,He_4CR_A1,He_4CR_C18-2
A4I4R22C18 ,spleen,,7980000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18
A4I4R22C18-1 ,spleen,,7770000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-1
A4I4R22C18-2 ,spleen,,1880000,He_4CR_I4,He_4CR_R22,He_4CR_A4,He_4CR_C18-2
A21I4R22C18 ,spleen,,1290000,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18
A21I4R22C18-1 ,spleen,,156000,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-1
A21I4R22C18-2 ,spleen,,13100,He_4CR_I4,He_4CR_R22,He_4CR_A21,He_4CR_C18-2
A23I4R22C18 ,spleen,,5560000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18
A23I4R22C18-1 ,spleen,,7490000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-1
A23I4R22C18-2 ,spleen,,2860000,He_4CR_I4,He_4CR_R22,He_4CR_A23,He_4CR_C18-2
A1I4R23C18 ,spleen,,1210000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18
A1I4R23C18-1 ,spleen,,2930000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-1
A1I4R23C18-2 ,spleen,,9480000,He_4CR_I4,He_4CR_R23,He_4CR_A1,He_4CR_C18-2
A4I4R23C18 ,spleen,,2020000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18
A4I4R23C18-1 ,spleen,,699000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-1
A4I4R23C18-2 ,spleen,,4150000,He_4CR_I4,He_4CR_R23,He_4CR_A4,He_4CR_C18-2
A21I4R23C18 ,spleen,,274000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18
A21I4R23C18-1 ,spleen,,257000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-1
A21I4R23C18-2 ,spleen,,528000,He_4CR_I4,He_4CR_R23,He_4CR_A21,He_4CR_C18-2
A23I4R23C18 ,spleen,,2050000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18
A23I4R23C18-1 ,spleen,,2920000,He_4CR_I4,He_4CR_R23,He_4CR_A23,He_4CR_C18-1
