Lipid_name,Amine,Tail,Delivery_target,Route_of_administration,Purity,Batch_or_individual,Experiment_weight,Mix_type
A28-T1 ,RM_carbonate_A28,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A70-T10 ,RM_carbonate_A70,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A24-T7 ,RM_carbonate_A24,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T9 ,RM_carbonate_A7,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A71-T5 ,RM_carbonate_A71,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A10-T1 ,RM_carbonate_A10,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A10-T8 ,RM_carbonate_A10,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T5 ,RM_carbonate_A7,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A28-T2 ,RM_carbonate_A28,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A41-T10 ,RM_carbonate_A41,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T3 ,RM_carbonate_A21,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T5 ,RM_carbonate_A33,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A26-T8 ,RM_carbonate_A26,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A71-T8 ,RM_carbonate_A71,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A37-T5 ,RM_carbonate_A37,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T7 ,RM_carbonate_A9,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A13-T3 ,RM_carbonate_A13,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T1 ,RM_carbonate_A21,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A29-T8 ,RM_carbonate_A29,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T3 ,RM_carbonate_A7,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T2 ,RM_carbonate_A34,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T9 ,RM_carbonate_A16,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T4 ,RM_carbonate_A19,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A24-T8 ,RM_carbonate_A24,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A17-T7 ,RM_carbonate_A17,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A45-T4 ,RM_carbonate_A45,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A27-T1 ,RM_carbonate_A27,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A38-T4 ,RM_carbonate_A38,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T2 ,RM_carbonate_A19,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T4 ,RM_carbonate_A5,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T2 ,RM_carbonate_A31,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T4 ,RM_carbonate_A33,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T5 ,RM_carbonate_A25,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
